epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
75,427.815,1.13235,0.88077,1.45478,0.0111,0.89614,0.94209,0.95841,0.681,1.00213,0.74396,1.54242,0.0064,0.000247345,0.000247345,0.000247345
76,433.284,1.12399,0.8749,1.44328,0.00994,0.89572,0.94315,0.95733,0.67364,1.00743,0.7424,1.53974,0.00617,0.000241406,0.000241406,0.000241406
77,438.334,1.13715,0.86022,1.50962,0.01004,0.89842,0.94315,0.95749,0.68018,1.00611,0.74211,1.53549,0.00596,0.00023522,0.00023522,0.00023522
78,443.805,1.1496,0.93134,1.42551,0.0117,0.88049,0.96693,0.95965,0.67872,1.00184,0.74151,1.53368,0.00577,0.000228786,0.000228786,0.000228786
79,449.557,1.14879,0.88399,1.6126,0.00643,0.9029,0.94202,0.96237,0.67722,0.99682,0.73493,1.53314,0.00581,0.000222105,0.000222105,0.000222105
80,455.589,1.05724,0.83819,1.56169,0.00522,0.90554,0.96601,0.96405,0.69654,0.98825,0.73301,1.5272,0.0062,0.000215176,0.000215176,0.000215176
81,461.478,1.00016,0.75045,1.53493,0.01076,0.92114,0.96516,0.96841,0.70729,0.98267,0.73158,1.52322,0.00781,0.000208,0.000208,0.000208
82,466.8,1.09329,0.83836,1.45312,0.01059,0.93154,0.97182,0.97771,0.72,0.97362,0.72426,1.52415,0.00813,0.000200576,0.000200576,0.000200576
83,472.038,1.14926,0.90486,1.40798,0.01036,0.95415,0.96899,0.97797,0.73004,0.96716,0.71632,1.52125,0.00892,0.000192905,0.000192905,0.000192905
84,477.257,1.13532,0.89943,1.44716,0.01376,0.94513,0.96905,0.97886,0.73643,0.95908,0.70818,1.5206,0.00865,0.000184986,0.000184986,0.000184986
85,482.905,1.07647,0.82989,1.50494,0.00603,0.95275,0.96672,0.97942,0.731,0.95754,0.7021,1.52351,0.00759,0.00017682,0.00017682,0.00017682
86,488.618,1.15247,0.91731,1.52653,0.01405,0.95281,0.96676,0.97963,0.73095,0.95578,0.70052,1.5226,0.00733,0.000168406,0.000168406,0.000168406
87,494.325,1.05914,0.86296,1.46514,0.01298,0.95103,0.9675,0.97963,0.72919,0.95307,0.69899,1.51686,0.00832,0.000159745,0.000159745,0.000159745
88,500.172,1.02553,0.79371,1.44629,0.01172,0.94812,0.96702,0.98052,0.72781,0.95119,0.69812,1.5127,0.00893,0.000150836,0.000150836,0.000150836
89,505.78,1.00525,0.75357,1.47714,0.00826,0.94098,0.95784,0.97391,0.72737,0.94747,0.69947,1.51138,0.00877,0.00014168,0.00014168,0.00014168
90,511.291,0.97091,0.73792,1.42587,0.01194,0.93706,0.95878,0.97354,0.72212,0.94701,0.69888,1.51427,0.00839,0.000132276,0.000132276,0.000132276
91,516.866,1.03344,0.79811,1.45189,0.01268,0.93265,0.96219,0.97324,0.72832,0.9456,0.699,1.51612,0.0079,0.000122625,0.000122625,0.000122625
92,522.419,0.98067,0.81052,1.49062,0.00808,0.92977,0.9647,0.97311,0.72805,0.94355,0.70162,1.51628,0.00716,0.000112726,0.000112726,0.000112726
93,528.305,1.02136,0.81037,1.54804,0.00992,0.93004,0.96413,0.97351,0.72362,0.94088,0.70491,1.51364,0.00712,0.00010258,0.00010258,0.00010258
94,533.95,1.0165,0.82006,1.41721,0.00578,0.93055,0.96343,0.97553,0.73334,0.93831,0.70698,1.5115,0.00699,9.21862e-05,9.21862e-05,9.21862e-05
95,539.601,0.98012,0.75771,1.53893,0.00675,0.93532,0.96156,0.97623,0.73473,0.93672,0.70837,1.50537,0.00751,8.1545e-05,8.1545e-05,8.1545e-05
96,545.127,0.98398,0.76838,1.44011,0.00854,0.93256,0.96156,0.97439,0.73618,0.93327,0.70832,1.50038,0.00981,7.06563e-05,7.06563e-05,7.06563e-05
97,550.407,0.98702,0.75849,1.56157,0.00406,0.94134,0.97123,0.98209,0.73481,0.9256,0.70761,1.49169,0.00777,5.952e-05,5.952e-05,5.952e-05
98,555.786,0.96617,0.76394,1.38397,0.00638,0.94105,0.97044,0.98164,0.73948,0.92099,0.70493,1.48897,0.00691,4.81363e-05,4.81363e-05,4.81363e-05
99,561.605,0.98432,0.78739,1.47494,0.00981,0.94309,0.96996,0.98205,0.74062,0.9181,0.70119,1.48725,0.00647,3.6505e-05,3.6505e-05,3.6505e-05
100,567.199,1.10084,0.93221,1.63152,0.00488,0.94053,0.97083,0.98219,0.74114,0.91539,0.69913,1.48638,0.00621,2.46263e-05,2.46263e-05,2.46263e-05
